"Katalog";"Označení";"Označení změny";"Název";"Třídící znak";"Věstník vydání";""
93384;"ČSN EN ISO 25239-1";;"Třecí svařování s promíšením - Hliník - Část 1: Slovník";52801;"IX.13";""
80615;"ČSN EN ISO 14644-6";;"Čisté prostory a příslušná řízená prostředí - Část 6: Slovník";125301;"II.08";""
76801;"ČSN EN ISO 23953-1";;"Distribuční chlazený nábytek - Část 1: Slovník";142741;"X.06";""
91063;"ČSN EN ISO 23953-1";"A1";"Distribuční chlazený nábytek - Část 1: Slovník";142741;"VIII.12";""
65134;"ČSN EN ISO 14539";;"Manipulační průmyslové roboty - Manipulace s předměty pomocí uchopovacích modulů svíracího typu - Slovník a uvádění charakteristických vlastností";186510;"VII.02";""
83460;"ČSN EN ISO 11145";;"Optika a fotonika - Lasery a laserová zařízení - Slovník a značky (ISO 11145:2006)";192000;"VII.09";""
74721;"ČSN EN ISO 11807-2";;"Integrovaná optika - Slovník - Část 2: Termíny používané pro klasifikaci";193002;"XII.05";""
74722;"ČSN EN ISO 11807-1";;"Integrovaná optika - Slovník - Část 1: Základní termíny a symboly";193002;"XII.05";""
74720;"ČSN EN ISO 14880-1";;"Optika a fotonika - Pole mikročoček - Část 1: Slovník";193003;"XII.05";""
74572;"ČSN EN ISO 15902";;"Optika a fotonika - Difraktivní optika - Slovník";193004;"XI.05";""
75770;"ČSN EN ISO 7998";;"Oční optika - Brýlové obruby - Seznam ekvivalentních termínů a slovník";195100;"V.06";""
92369;"ČSN EN ISO 13666";;"Oční optika - Brýlové čočky - Slovník";195109;"IV.13";""
77322;"ČSN EN ISO 18369-1";;"Oční optika - Kontaktní čočky - Část 1: Slovník, třídění a doporučení pro označení vlastností";195202;"III.07";""
83696;"ČSN EN ISO 18369-1";"A1";"Oční optika - Kontaktní čočky - Část 1: Slovník, třídění a doporučení pro označení vlastností";195202;"VIII.09";""
92368;"ČSN EN ISO 11979-1";;"Oftalmologické implantáty - Nitrooční čočky - Část 1: Slovník";195300;"IV.13";""
62758;"ČSN EN ISO 10360-1";;"Geometrické požadavky na výrobky (GPS) - Přejímací a periodické zkoušky souřadnicových měřicích strojů (CMM) - Část 1: Slovník";252011;"IX.01";""
68315;"ČSN EN ISO 10360-1";"Opr.1";"Geometrické požadavky na výrobky (GPS) - Přejímací a periodické zkoušky souřadnicových měřicích strojů (CMM) - Část 1: Slovník";252011;"IX.03";""
85551;"ČSN EN ISO 445";;"Palety pro manipulaci s materiálem - Slovník";269006;"III.10";""
60202;"ČSN ISO 830";;"Kontejnery - Slovník";269339;"XI.00";""
85261;"ČSN ISO 4306-1";;"Jeřáby - Slovník - Část 1: Všeobecně";270000;"III.10";""
15463;"ČSN 27 0005";;"Ilustrovaný slovník jeřábů a těžkých zdvihadel";270005;"III.94";""
15474;"ČSN 27 4010";;"Slovník elektrických výtahů, pohyblivých schodů a chodníků";274010;"III.94";""
74213;"ČSN EN 14478";;"Železniční aplikace - Brzdění - Všeobecný slovník";284001;"XII.05";""
15814;"ČSN ISO 4092";;"Cestné vozidlá. Diagnostické sústavy pre motorové vozidlá. Slovník";300041;"V.94";""
58665;"ČSN ISO 8815";;"Letectví a kosmonautika - Elektrické kabely a kabelové svazky - Slovník";311714;"XI.00";""
63724;"ČSN EN ISO 8384";;"Lodě a lodní technika - Bagry - Slovník";320120;"IV.02";""
77273;"ČSN EN 13551";;"Plavidla vnitrozemské plavby - Slovník";320130;"XII.06";""
71571;"ČSN EN ISO 3715-1";;"Lodě a lodní technika - Pohonná zařízení lodí - Část 1: Slovník geometrie vrtule";324570;"XI.04";""
79626;"ČSN EN 62261-1";;"Televizní METADATA - Část 1: Struktura slovníku metadat";367555;"X.07";""
76994;"ČSN EN 61925";;"Multimediální systémy a zařízení - Systémy domácího multimediálního serveru - Slovník domácího serveru";368612;"XI.06";""
90193;"ČSN EN 62605";;"Multimediální systémy a zařízení - Multimediální e-publikování a e-knihy - Formát výměny pro e-slovníky";368618;"III.12";""
61095;"ČSN ISO/IEC 2382-34";;"Informační technologie - Slovník - Část 34: Umělá inteligence - Neuronové sítě";369001;"IV.01";""
63382;"ČSN ISO/IEC 2382-18";;"Informační technologie - Slovník - Část 18: Distribuované zpracování dat";369001;"II.02";""
63992;"ČSN ISO/IEC 2382-5";;"Informační technologie - Slovník - Část 5: Zobrazení dat";369001;"VIII.02";""
63993;"ČSN ISO/IEC 2382-4";;"Informační technologie - Slovník - Část 4: Organizace dat";369001;"IX.02";""
63994;"ČSN ISO/IEC 2382-7";;"Informační technologie - Slovník - Část 7: Programování počítačů";369001;"IX.02";""
82701;"ČSN ISO/IEC 2382-36";;"Informační technologie - Slovník - Část 36: Výuka, vzdělávání, výcvik";369001;"III.09";""
58373;"ČSN ISO/IEC 2382-31";;"Informační technologie - Slovník - Část 31: Umělá inteligence - Strojové učení";369001;"V.00";""
60645;"ČSN ISO/IEC 2382-32";;"Informační technologie - Slovník - Část 32: Elektronická pošta";369001;"III.01";""
60728;"ČSN ISO/IEC 2382-8";;"Informační technologie - Slovník - Část 8: Bezpečnost";369001;"III.01";""
60737;"ČSN ISO/IEC 2382-29";;"Informační technologie - Slovník - Část 29: Umělá inteligence - Rozpoznávání a syntéza řeči";369001;"II.01";""
60738;"ČSN ISO/IEC 2382-15";;"Informační technologie - Slovník - Část 15: Programovací jazyky";369001;"II.01";""
85169;"ČSN ISO/IEC 27000";;"Informační technologie - Bezpečnostní techniky - Systémy řízení bezpečnosti informací - Přehled a slovník";369790;"V.10";""
74936;"ČSN EN ISO 14532";;"Zemní plyn - Slovník";385500;"I.06";""
79945;"ČSN ISO 16020";;"Ocel pro betonářskou výztuž a předpínání betonu - Slovník";420013;"XII.07";""
62354;"ČSN EN ISO 3252";;"Prášková metalurgie - Slovník";420049;"VII.01";""
79723;"ČSN ISO 23718";;"Kovové materiály - Mechanické zkoušení  - Slovník";420300;"X.07";""
86652;"ČSN ISO 11323";;"Železné rudy a přímo redukované železo - Slovník";441500;"IX.10";""
74584;"ČSN EN ISO 7088";;"Rybí moučka - Slovník";467001;"XII.05";""
67944;"ČSN ISO 5681";;"Zařízení na ochranu rostlin - Slovník";470011;"VIII.03";""
75550;"ČSN EN 1001-2";;"Trvanlivost dřeva a materiálů na bázi dřeva - Terminologie - Část 2: Slovník";490001;"IV.06";""
76827;"ČSN ISO 4046-2";;"Papír, lepenka, vlákniny a souvisící názvosloví - Slovník - Část 2: Názvosloví výroby vláknin";500010;"X.06";""
77294;"ČSN ISO 4046-1";;"Papír, lepenka, vlákniny a souvisící názvosloví - Slovník - Část 1: Abecední rejstřík";500010;"XII.06";""
77295;"ČSN ISO 4046-5";;"Papír, lepenka, vlákniny a souvisící názvosloví - Slovník - Část 5: Vlastnosti vláknin, papíru a lepenky";500010;"XII.06";""
77172;"ČSN ISO 4046-3";;"Papír, lepenka, vlákniny a souvisící názvosloví - Slovník - Část 3: Názvosloví výroby papíru";500010;"XI.06";""
77191;"ČSN ISO 4046-4";;"Papír, lepenka, vlákniny a souvisící názvosloví - Slovník - Část 4: Druhy papíru a lepenky a zpracovaných výrobků";500010;"XII.06";""
64346;"ČSN EN 235";;"Tapety - Slovník a značky";503405;"VII.02";""
84834;"ČSN EN ISO 5492";;"Senzorická analýza - Slovník";560030;"XII.09";""
82137;"ČSN ISO 10185";;"Tabák a tabákové výrobky - Slovník";569520;"X.08";""
60787;"ČSN ISO 3493";;"Vanilka - Slovník";580200;"I.01";""
79611;"ČSN ISO 3493";"Z1";"Vanilka - Slovník";580200;"X.07";""
81215;"ČSN EN ISO 8330";;"Pryžové a plastové hadice a hadice s koncovkami - Slovník";635402;"IX.08";""
92866;"ČSN EN ISO 472";;"Plasty - Slovník";640001;"VI.13";""
64244;"ČSN EN 12944-1";;"Hnojiva a materiály k vápnění půd - Slovník - Část 1: Všeobecné termíny";654800;"V.02";""
64245;"ČSN EN 12944-2";;"Hnojiva a materiály k vápnění půd - Slovník - Část 2: Termíny vztahující se ke hnojivům";654800;"V.02";""
69699;"ČSN EN 12944-3";;"Hnojiva a materiály k vápnění půd - Slovník - Část 3: Termíny vztahující se k materiálům pro vápnění půd";654800;"III.04";""
75090;"ČSN ISO 12231";;"Fotografie - Elektronické snímání statického obrazu - Slovník";666901;"II.06";""
85350;"ČSN EN ISO 10991";;"Mikroprocesní inženýrství - Slovník";704600;"IV.10";""
65244;"ČSN 73 0001-3";;"Navrhování stavebních konstrukcí - Slovník - Část 3: Ocelové konstrukce";730001;"IX.02";""
67982;"ČSN 73 0001-5";;"Navrhování stavebních konstrukcí - Slovník - Část 5: Dřevěné konstrukce";730001;"IX.03";""
67048;"ČSN 73 0001-1";;"Navrhování stavebních konstrukcí - Slovník - Část 1: Spolehlivost a zatížení konstrukcí";730001;"V.03";""
67049;"ČSN 73 0001-2";;"Navrhování stavebních konstrukcí - Slovník - Část 2: Betonové konstrukce";730001;"V.03";""
66305;"ČSN 73 0001-7";;"Navrhování stavebních konstrukcí - Slovník - Část 7: Geotechnika";730001;"V.03";""
61807;"ČSN EN ISO 9488";;"Solární energie - Slovník";730300;"VIII.01";""
82316;"ČSN EN ISO 9346";;"Tepelně vlhkostní chování budov a stavebních materiálů - Fyzikální veličiny pro přenos hmoty - Slovník";730554;"XII.08";""
88725;"ČSN EN ISO 13943";;"Požární bezpečnost - Slovník";730801;"VIII.11";""
67727;"ČSN EN 12216";;"Okenice, vnější a vnitřní clony - Terminologie, slovník odborných výrazů a definice";746024;"VIII.03";""
79065;"ČSN EN 1085";;"Čištění odpadních vod - Slovník";750160;"IX.07";""
85241;"ČSN ISO 6107-3";"Amd.1";"Jakost vod - Slovník - Část 3";750175;"III.10";""
85240;"ČSN ISO 6107-8";"Amd.1";"Jakost vod - Slovník - Část 8";750175;"III.10";""
86225;"ČSN ISO 6107-1";;"Jakost vod - Slovník - Část 1";750175;"VII.10";""
85127;"ČSN ISO 6107-6";;"Jakost vod - Slovník - Část 6";750175;"II.10";""
85128;"ČSN ISO 6107-5";;"Jakost vody - Slovník - Část 5";750175;"II.10";""
82898;"ČSN ISO 6107-2";;"Jakost vod - Slovník - Část 2";750175;"IV.09";""
88029;"ČSN  ISO 6107-7";;"Jakost vod - Slovník - Část 7";750175;"IV.11";""
58653;"ČSN EN 12832";;"Charakterizace kalů - Využití a odstraňování kalů - Slovník";750178;"V.00";""
63883;"ČSN P ENV 13712";;"Poštovní služby - Formuláře - Harmonizovaný slovník";760101;"II.02";""
83746;"ČSN P CEN/TS 15873";;"Poštovní služby - Otevřené standardní rozhraní - Formát datových souborů adres pro generování slovníku OCR/VCS";760731;"VIII.09";""
83142;"ČSN EN 15707";;"Analýza tiskových médií - Slovník a požadavky na služby";761801;"V.09";""
76269;"ČSN EN 14943";;"Přepravní služby - Logistika - Slovník";762000;"VIII.06";""
75132;"ČSN EN ISO 19952";;"Obuv - Slovník";795601;"II.06";""
64415;"ČSN EN ISO 4921";;"Pletení - Základní pojmy - Slovník";800013;"VII.02";""
68714;"ČSN EN ISO 8388";;"Pleteniny - Druhy - Slovník";800014;"I.04";""
67351;"ČSN EN ISO 105-A08";;"Textilie - Zkoušky stálobarevnosti - Část A08: Slovník termínů používaných při měření barevnosti";800195;"VI.03";""
81125;"ČSN ISO 2424";;"Textilní podlahové krytiny - Slovník";804402;"VI.08";""
73082;"ČSN EN ISO 1968";;"Textilní lana a provaznické výrobky - Slovník";808510;"V.05";""
91999;"ČSN EN ISO 4007";;"Osobní ochranné prostředky - Ochrana očí a obličeje - Slovník";832400;"XII.12";""
73258;"ČSN 83 2700";;"Ochranné oděvy - Slovník";832700;"VI.05";""
66087;"ČSN EN ISO 13731";;"Ergonomie tepelného prostředí - Slovník a značky";833545;"XII.02";""
77255;"ČSN ISO 11074";;"Kvalita půdy - Slovník";836150;"I.07";""
66089;"ČSN EN ISO 4135";;"Anestetické a respirační přístroje - Slovník";852100;"I.03";""
77001;"ČSN P ISO/TS 11139";;"Sterilizace výrobků pro zdravotní péči - Slovník";855256;"XI.06";""
89081;"ČSN EN ISO 1942";;"Stomatologie - Slovník";856305;"IX.11";""
77600;"ČSN ISO 12637-1";;"Technologie grafické výroby - Slovník - Část 1: Základní termíny";883001;"I.07";""
90982;"ČSN EN ISO/IEC 19762-3";;"Informační technologie - Automatická identifikace a techniky sběru dat - Harmonizovaný slovník - Část 3: Radiofrekvenční identifikace (RFID)";977126;"VIII.12";""
92270;"ČSN ISO/IEC 19762-2";;"Informační technologie - Automatická identifikace a techniky sběru dat (AIDC) - Harmonizovaný slovník - Část 2: Opticky čitelná média (ORM)";977126;"III.13";""
92783;"ČSN EN ISO/IEC 19762-1";;"Informační technologie - Automatická identifikace a techniky sběru dat (AIDC) - Harmonizovaný slovník - Část 1: Obecné termíny vztahující se k AIDC";977126;"VI.13";""
89955;"ČSN EN ISO 19126";;"Geografická informace - Pojmové slovníky vzhledů a registry";979845;"II.12";""
87930;"ČSN EN ISO 19146";;"Geografická informace - Mezidoménové slovníky";979846;"IV.11";""
"Katalog";"Označení";"Označení změny";"Název";"Třídící znak";"Věstník vydání";"datum";""
65905;"ČSN ISO 1087-2";;"Terminologická práce - Slovník - Část 2: Počítačové aplikace";10501;"XII.02";""
63471;"ČSN ISO 1087-1";;"Terminologická práce - Slovník - Část 1: Teorie a aplikace";10501;"XII.02";""
68212;"ČSN ISO 15188";;"Směrnice pro management projektu normalizace terminologie";10504;"IX.03";""
69198;"ČSN ISO 704";;"Terminologická práce - Principy a metody";10505;"II.04";""
71561;"ČSN ISO 12616";;"Terminografie zaměřená na překlad";10506;"XI.04";""
71856;"ČSN ISO 16642";;"Počítačové aplikace v terminologii - Systém pro značkování terminologie";10507;"I.05";""
75637;"ČSN ISO 12200";;"Počítačové aplikace v terminologii - Strojově snímatelný formát pro výměnu terminologie (MARTIF) - Dohodnutá výměna";10508;"V.06";""
87374;"ČSN EN 13306";;"Údržba - Terminologie údržby";10660;"II.11";""
64858;"ČSN 01 1600";;"Akustika - Terminologie";11600;"II.03";""
69196;"ČSN ISO 13473-2";;"Popis textury vozovky pomocí profilů povrchu - Část 2: Terminologie a základní požadavky vztahující se k analýze profilu textury vozovky";11678;"XII.03";""
91892;"ČSN EN ISO 10209";;"Technické výkresy - Terminologie - Termíny vztahující se k technickým výkresům, definici produktu a související dokumentaci";13101;"II.13";""
86519;"ČSN EN ISO 26909";;"Pružiny - Terminologie";13210;"VIII.10";""
76993;"ČSN 01 3705";;"Terminologie v oblasti informační struktury, dokumentace a grafických značek";13705;"XI.06";""
57960;"ČSN EN 1330-2";;"Nedestruktivní zkoušení - Terminologie - Část 2: Společné termíny pro metody nedestruktivního zkoušení";15005;"I.00";""
58388;"ČSN EN 1330-1";;"Nedestruktivní zkoušení - Terminologie - Část 1: Všeobecné termíny";15005;"III.00";""
68446;"ČSN EN 1330-10";;"Nedestruktivní zkoušení - Terminologie - Část 10: Termíny používané při vizuální kontrole";15005;"IX.03";""
73707;"ČSN EN 1330-7";;"Nedestruktivní zkoušení - Terminologie - Část 7: Termíny používané při zkoušení magnetickou metodou práškovou";15005;"VIII.05";""
80014;"ČSN EN 1330-11";;"Nedestruktivní zkoušení - Terminologie - Část 11: Termíny používané při rentgenové difrakci polykrystalických a amorfních materiálů";15005;"XII.07";""
90647;"ČSN EN 16018";;"Nedestruktivní zkoušení - Terminologie - Termíny používané při zkoušení ultrazvukem technikou phased array";15005;"V.12";""
86112;"ČSN EN ISO 12706";;"Nedestruktivní zkoušení - Zkoušení kapilární metodou - Terminologie";15005;"VI.10";""
86213;"ČSN EN 1330-4";;"Nedestruktivní zkoušení - Terminologie - Část 4: Termíny používané při zkoušení ultrazvukem";15005;"VII.10";""
90487;"ČSN EN 16016-1";;"Nedestruktivní zkoušení - Radiografické metody - Počítačová tomografie - Část 1: Terminologie";15036;"IV.12";""
81773;"ČSN ISO/TR 24098";;"Inteligentní dopravní systémy - Architektura systémů, taxonomie a terminologie - Postupy pro vývoj plánů instalace ITS pomocí systémové architektury ITS";18201;"IX.08";""
81777;"ČSN ISO 24531";;"Inteligentní dopravní systémy - Architektura systémů, taxonomie a terminologie - Využití XML v normách ITS, datových registrech a datových slovnících";18202;"IX.08";""
82427;"ČSN EN ISO 14814";;"Dopravní telematika - Automatická identifikace vozidel, zařízení a nákladů - Architektura a terminologie";18339;"I.09";""
92577;"ČSN EN ISO 17261";;"Inteligentní dopravní systémy (ITS) - Automatická identifikace vozidel, zařízení a nákladů - Architektura a terminologie intermodální/multimodální přepravy";18340;"IV.13";""
75907;"ČSN P CEN/TS 15213-1";;"Dopravní telematika - Část 1: Pokrádežové systémy pro navracení odcizených vozidel - Referenční architektura a terminologie";18360;"IX.06";""
88650;"ČSN ISO 1891";;"Spojovací součásti - Terminologie";21003;"VIII.11";""
64097;"ČSN EN ISO 14588";;"Trhací nýty - Terminologie a definice";22305;"III.02";""
15502;"ČSN 03 1000";;"Prevodovky s ozubenými kolesami. Terminológia";31000;"III.94";""
68118;"ČSN EN 13622";;"Zařízení pro plamenové svařování - Terminologie - Termíny používané v  plamenovém svařování";50015;"IX.03";""
59639;"ČSN EN 12584";;"Vady při řezání kyslíkem, laserem a plasmou - Terminologie";53402;"IV.01";""
86234;"ČSN EN 15270";;"Hořáky spalující pelety pro kotle malých výkonů - Terminologie, požadavky, zkoušení, značení";61231;"VII.10";""
92127;"ČSN EN 303-5";;"Kotle pro ústřední vytápění - Část 5: Kotle pro ústřední vytápění na pevná paliva, s ruční a samočinnou dodávkou, o jmenovitém tepelném výkonu nejvýše 500 kW - Terminologie, požadavky, zkoušení a značení";75303;"I.13";""
69337;"ČSN EN 303-1";"A1";"Kotle pro ústřední vytápění - Část 1: Kotle pro ústřední vytápění s hořáky s ventilátorem - Terminologie, všeobecné požadavky, zkoušení a značení";75303;"I.04";""
80526;"ČSN EN ISO 10286";;"Lahve na plyny - Terminologie";78301;"II.08";""
74374;"ČSN EN ISO 21007-1";;"Plynové lahve - Identifikace a značení s použitím vysokofrekvenční technologie - Část 1: Referenční struktura a terminologie";78512;"II.06";""
70963;"ČSN EN 12792";;"Větrání budov - Značky, terminologie a grafické značky";120001;"V.07";""
87429;"ČSN EN ISO 13349";;"Ventilátory - Terminologie a kategorizace";122001;"I.11";""
80027;"ČSN EN 14799";;"Filtry pro čištění vzduchu - Terminologie";125000;"XII.07";""
90998;"ČSN ISO 29464";;"Zařízení pro čištění vzduchu a jiných plynů - Terminologie";125300;"VIII.12";""
81893;"ČSN EN 736-3";;"Armatury - Terminologie - Část 3: Definice termínů";133001;"IX.08";""
74847;"ČSN EN 60534-1";;"Regulační armatury pro průmyslové procesy - Část 1: Terminologie pro regulační armatury a všeobecné požadavky";134510;"I.06";""
59837;"ČSN EN 61512-1";;"Dávkové řízení - Část 1: Modely a terminologie";182001;"X.00";""
82297;"ČSN EN 62264-1";;"Integrovaný systém podnikového řízení - Část 1: Modely a terminologie";182002;"XII.08";""
66244;"ČSN ISO 841";;"Systémy průmyslové automatizace a integrace - Číslicové řízení strojů - Souřadnicový systém a terminologie pohybu";184303;"I.03";""
58300;"ČSN EN ISO 9787";;"Manipulační průmyslové roboty - Souřadnicové systémy a terminologie pohybů";186503;"II.00";""
69443;"ČSN EN ISO 15367-1";;"Lasery a laserová zařízení - Metody měření tvaru laserového svazku - Část 1: Terminologie a základní aspekty";192025;"VI.04";""
88422;"ČSN EN ISO 8624";;"Oční optika - Brýlové obruby - Měřicí systém a terminologie";195101;"VIII.11";""
63695;"ČSN ISO 11090-2";;"Obráběcí stroje - Podmínky zkoušek vyjiskřovacích strojů na zápustky (EDM) - Terminologie a zkoušky přesnosti - Část 2: Stroje se dvěma stojany (typ s pohyblivou hlavou a typ s křížovým stolem)";200370;"V.02";""
63694;"ČSN ISO 14137";;"Obráběcí stroje - Podmínky zkoušek drátových vyjiskřovacích strojů - Terminologie a zkoušky přesnosti";200371;"V.02";""
88488;"ČSN ISO 8695";;"Tvářecí nástroje - Střižníky - Přehled a terminologie";226330;"VII.11";""
89956;"ČSN EN ISO 772";;"Hydrometrická měření - Terminologie";259300;"II.12";""
84103;"ČSN EN 415-1+A1";;"Bezpečnost balicích strojů - Část 1: Terminologie a klasifikace balicích strojů a souvisících zařízení";267600;"IX.09";""
61029;"ČSN ISO 5053";;"Motorové manipulační vozíky - Terminologie";268801;"IV.01";""
58155;"ČSN EN 12674-1";;"Rozvážkové vozíky - Část 1: Terminologie";269820;"II.00";""
74079;"ČSN EN 1907";;"Bezpečnostní požadavky na osobní lanové dráhy - Terminologie";273002;"X.05";""
80373;"ČSN EN 15144";;"Zařízení pro zimní údržbu - Terminologie - Termíny pro zimní údržbu";277402;"II.08";""
87596;"ČSN ISO 7135";;"Stroje pro zemní práce - Hydraulická lopatová rýpadla - Terminologie a obchodní specifikace";277450;"I.11";""
72577;"ČSN ISO 15219";;"Stroje pro zemní práce - Lanová rýpadla - Terminologie a obchodní specifikace";277451;"V.05";""
80256;"ČSN EN 15429-1";;"Zametače - Část 1: Klasifikace a terminologie";277452;"IV.08";""
88088;"ČSN ISO 6747";;"Stroje pro zemní práce - Dozery - Terminologie a obchodní specifikace";278047;"V.11";""
82936;"ČSN EN 15436-1";;"Zařízení pro údržbu servisních a provozních prostor silnic - Část 1: Terminologie";278048;"III.09";""
72586;"ČSN ISO 21467";;"Stroje pro zemní práce - Horizontální směrové vrtačky - Terminologie a obchodní specifikace";278267;"V.05";""
64933;"ČSN EN 13447";;"Elektricky poháněná silniční vozidla - Terminologie";300251;"IX.02";""
93036;"ČSN EN ISO 18542-1";;"Silniční vozidla - Normalizovaná terminologie informací o opravě a údržbě (RMI) - Část 1: Obecná informace a definice případu použití (ISO 18542-1:2012)";304445;"VIII.13";""
85041;"ČSN EN 15532";;"Jízdní kola - Terminologie";309001;"IV.10";""
67955;"ČSN 31 0001";;"Letectví a kosmonautika - Terminologie";310001;"V.05";""
64505;"ČSN EN 13701";;"Kosmické systémy - Terminologie";310505;"VI.02";""
76430;"ČSN EN 3708-005";;"Letectví a kosmonautika - Systémy modulového propojení - Systémy připojení terminálů - Část 005: Rámy s příslušenstvím pro vyměnitelné moduly zpětné vazby, utěsněné a neutěsněné - Norma výrobku";311821;"XI.06";""
